Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2018,2018,2018,2,0,2,Export,699,India,IND,0,World,WLD,,,,,,,,01,Animals; live,1,No Quantity,0,,,,,,31249175,,,4
H5,2018,2018,2018,2,0,2,Export,699,India,IND,0,World,WLD,,,,,,,,02,Meat and edible meat offal,1,No Quantity,0,,,,0,,3736850188,,,4
H5,2018,2018,2018,2,0,2,Export,699,India,IND,0,World,WLD,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,0,,,,0,,6384041679,,,4
H5,2018,2018,2018,2,0,2,Export,699,India,IND,0,World,WLD,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,0,,,,0,,481587646,,,4
H5,2018,2018,2018,2,0,2,Export,699,India,IND,0,World,WLD,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,0,,,,0,,134063201,,,4
H5,2018,2018,2018,2,0,2,Export,699,India,IND,0,World,WLD,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,0,,,,0,,80715031,,,4
H5,2018,2018,2018,2,0,2,Export,699,India,IND,0,World,WLD,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,0,,,,0,,1227501503,,,4
H5,2018,2018,2018,2,0,2,Export,699,India,IND,0,World,WLD,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,0,,,,0,,1533640494,,,4
H5,2018,2018,2018,2,0,2,Export,699,India,IND,0,World,WLD,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,0,,,,0,,3122216257,,,4
H5,2018,2018,2018,2,0,2,Export,699,India,IND,0,World,WLD,,,,,,,,10,Cereals,1,No Quantity,0,,,,0,,7720142279,,,4
H5,2018,2018,2018,2,0,2,Export,699,India,IND,0,World,WLD,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",1,No Quantity,0,,,,0,,312843194,,,4
H5,2018,2018,2018,2,0,2,Export,699,India,IND,0,World,WLD,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",1,No Quantity,0,,,,0,,1620049283,,,4
H5,2018,2018,2018,2,0,2,Export,699,India,IND,0,World,WLD,,,,,,,,13,"Lac; gums, resins and other vegetable saps and extracts",1,No Quantity,0,,,,0,,1062261382,,,4
H5,2018,2018,2018,2,0,2,Export,699,India,IND,0,World,WLD,,,,,,,,14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,1,No Quantity,0,,,,0,,47581525,,,4
H5,2018,2018,2018,2,0,2,Export,699,India,IND,0,World,WLD,,,,,,,,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,1,No Quantity,0,,,,0,,1118668283,,,4
H5,2018,2018,2018,2,0,2,Export,699,India,IND,0,World,WLD,,,,,,,,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",1,No Quantity,0,,,,0,,428974588,,,4
H5,2018,2018,2018,2,0,2,Export,699,India,IND,0,World,WLD,,,,,,,,17,Sugars and sugar confectionery,1,No Quantity,0,,,,0,,1174562172,,,4
H5,2018,2018,2018,2,0,2,Export,699,India,IND,0,World,WLD,,,,,,,,18,Cocoa and cocoa preparations,1,No Quantity,0,,,,0,,194050343,,,4
H5,2018,2018,2018,2,0,2,Export,699,India,IND,0,World,WLD,,,,,,,,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",1,No Quantity,0,,,,0,,521066924,,,4
H5,2018,2018,2018,2,0,2,Export,699,India,IND,0,World,WLD,,,,,,,,20,"Preparations of vegetables, fruit, nuts or other parts of plants",1,No Quantity,0,,,,0,,594193326,,,4
H5,2018,2018,2018,2,0,2,Export,699,India,IND,0,World,WLD,,,,,,,,21,Miscellaneous edible preparations,1,No Quantity,0,,,,0,,759960287,,,4
H5,2018,2018,2018,2,0,2,Export,699,India,IND,0,World,WLD,,,,,,,,22,"Beverages, spirits and vinegar",1,No Quantity,0,,,,0,,330314268,,,4
H5,2018,2018,2018,2,0,2,Export,699,India,IND,0,World,WLD,,,,,,,,23,"Food industries, residues and wastes thereof; prepared animal fodder",1,No Quantity,0,,,,0,,1676325344,,,4
H5,2018,2018,2018,2,0,2,Export,699,India,IND,0,World,WLD,,,,,,,,24,Tobacco and manufactured tobacco substitutes,1,No Quantity,0,,,,0,,983963797,,,4
H5,2018,2018,2018,2,0,2,Export,699,India,IND,0,World,WLD,,,,,,,,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",1,No Quantity,0,,,,0,,2247013085,,,4
