Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2018,2018,2018,2,0,2,Export,699,India,IND,0,World,WLD,,,,,,,,01,Animals; live,1,No Quantity,0,,,,,,31249175,,,4
H5,2018,2018,2018,4,0,2,Export,699,India,IND,0,World,WLD,,,,,,,,0101,"Horses, asses, mules and hinnies; live",5,Number of items,1559,,,,,,534291,,,4
H5,2018,2018,2018,6,1,2,Export,699,India,IND,0,World,WLD,,,,,,,,010121,"Horses; live, pure-bred breeding animals",5,Number of items,28,,,,,,190335,,,4
H5,2018,2018,2018,6,1,2,Export,699,India,IND,0,World,WLD,,,,,,,,010129,"Horses; live, other than pure-bred breeding animals",5,Number of items,20,,,,,,127091,,,4
H5,2018,2018,2018,6,1,2,Export,699,India,IND,0,World,WLD,,,,,,,,010130,Asses; live,5,Number of items,78,,,,,,8186,,,4
H5,2018,2018,2018,6,1,2,Export,699,India,IND,0,World,WLD,,,,,,,,010190,Mules and hinnies; live,5,Number of items,1433,,,,,,208677,,,4
H5,2018,2018,2018,4,0,2,Export,699,India,IND,0,World,WLD,,,,,,,,0102,Bovine animals; live,5,Number of items,298,,,,78551,,259320,,,4
H5,2018,2018,2018,6,1,2,Export,699,India,IND,0,World,WLD,,,,,,,,010229,"Cattle; live, other than pure-bred breeding animals",5,Number of items,100,,,,25650,,76951,,,4
H5,2018,2018,2018,6,1,2,Export,699,India,IND,0,World,WLD,,,,,,,,010231,"Buffalo; live, pure-bred breeding animals",5,Number of items,70,,,,,,55298,,,4
H5,2018,2018,2018,6,1,2,Export,699,India,IND,0,World,WLD,,,,,,,,010239,"Buffalo; live, other than pure-bred breeding animals",5,Number of items,100,,,,,,79524,,,4
H5,2018,2018,2018,6,1,2,Export,699,India,IND,0,World,WLD,,,,,,,,010290,"Bovine animals; live, other than cattle and buffalo",5,Number of items,28,,,,15642,,47546,,,4
H5,2018,2018,2018,4,0,2,Export,699,India,IND,0,World,WLD,,,,,,,,0103,Swine; live,5,Number of items,4989,,,,153557,,299421,,,4
H5,2018,2018,2018,6,1,2,Export,699,India,IND,0,World,WLD,,,,,,,,010310,"Swine; live, pure-bred breeding animals",5,Number of items,338,,,,2735,,19764,,,4
H5,2018,2018,2018,6,1,2,Export,699,India,IND,0,World,WLD,,,,,,,,010391,"Swine; live, other than pure-bred breeding animals, weighing less than 50kg",5,Number of items,2452,,,,53967,,142109,,,4
H5,2018,2018,2018,6,1,2,Export,699,India,IND,0,World,WLD,,,,,,,,010392,"Swine; live, other than pure-bred breeding animals, weighing 50kg or more",5,Number of items,2199,,,,96854,,137547,,,4
H5,2018,2018,2018,4,0,2,Export,699,India,IND,0,World,WLD,,,,,,,,0104,Sheep and goats; live,5,Number of items,541909,,,,,,28836290,,,4
H5,2018,2018,2018,6,1,2,Export,699,India,IND,0,World,WLD,,,,,,,,010410,Sheep; live,5,Number of items,32885,,,,535498,,1457482,,,4
H5,2018,2018,2018,6,1,2,Export,699,India,IND,0,World,WLD,,,,,,,,010420,Goats; live,5,Number of items,509024,,,,,,27378808,,,4
H5,2018,2018,2018,4,0,2,Export,699,India,IND,0,World,WLD,,,,,,,,0105,"Poultry; live, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls",5,Number of items,368552,,,,267577,,1127319,,,4
H5,2018,2018,2018,6,1,2,Export,699,India,IND,0,World,WLD,,,,,,,,010511,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g",5,Number of items,236762,,,,10936,,732905,,,4
H5,2018,2018,2018,6,1,2,Export,699,India,IND,0,World,WLD,,,,,,,,010599,"Poultry; live, ducks, geese, turkeys and guinea fowls, weighing more than 185g",5,Number of items,131790,,,,256640,,394413,,,4
H5,2018,2018,2018,4,0,2,Export,699,India,IND,0,World,WLD,,,,,,,,0106,"Animals; live, n.e.c. in chapter 01",5,Number of items,41323,,,,1912,,192531,,,4
H5,2018,2018,2018,6,1,2,Export,699,India,IND,0,World,WLD,,,,,,,,010619,"Mammals; live, other than primates, whales, dolphins, porpoises (mammals of the order Cetacea); manatees, dugongs (mammals of the order Sirenia); seals, sea lions, walruses (mammals of the suborder Pinnipedia), camels, other camelids, rabbits and hares",5,Number of items,2649,,,,1232,,186598,,,4
H5,2018,2018,2018,6,1,2,Export,699,India,IND,0,World,WLD,,,,,,,,010641,"Insects; live, bees",5,Number of items,38652,,,,680,,5927,,,4
H5,2018,2018,2018,6,1,2,Export,699,India,IND,0,World,WLD,,,,,,,,010690,"Animals; live, n.e.c. in chapter 01, other than mammals, reptiles, birds and insects",5,Number of items,22,,,,0,,5,,,4
H5,2018,2018,2018,2,0,2,Export,699,India,IND,0,World,WLD,,,,,,,,02,Meat and edible meat offal,1,No Quantity,0,,,,0,,3736850188,,,4
H5,2018,2018,2018,4,0,2,Export,699,India,IND,0,World,WLD,,,,,,,,0201,Meat of bovine animals; fresh or chilled,8,Weight in kilograms,11907094,,,,11907094,,50269510,,,6
H5,2018,2018,2018,6,1,2,Export,699,India,IND,0,World,WLD,,,,,,,,020110,"Meat; of bovine animals, carcasses and half-carcasses, fresh or chilled",8,Weight in kilograms,3015,,,,3015,,11768,,,6
H5,2018,2018,2018,6,1,2,Export,699,India,IND,0,World,WLD,,,,,,,,020120,"Meat; of bovine animals, cuts with bone in (excluding carcasses and half-carcasses), fresh or chilled",8,Weight in kilograms,130,,,,130,,590,,,0
H5,2018,2018,2018,6,1,2,Export,699,India,IND,0,World,WLD,,,,,,,,020130,"Meat; of bovine animals, boneless cuts, fresh or chilled",8,Weight in kilograms,11903949,,,,11903949,,50257152,,,0
H5,2018,2018,2018,4,0,2,Export,699,India,IND,0,World,WLD,,,,,,,,0202,Meat of bovine animals; frozen,8,Weight in kilograms,1099118026,,,,1099118026,,3332455632,,,0
H5,2018,2018,2018,6,1,2,Export,699,India,IND,0,World,WLD,,,,,,,,020210,"Meat; of bovine animals, carcasses and half-carcasses, frozen",8,Weight in kilograms,10534,,,,10534,,21557,,,0
H5,2018,2018,2018,6,1,2,Export,699,India,IND,0,World,WLD,,,,,,,,020230,"Meat; of bovine animals, boneless cuts, frozen",8,Weight in kilograms,1099107492,,,,1099107492,,3332434074,,,0
H5,2018,2018,2018,4,0,2,Export,699,India,IND,0,World,WLD,,,,,,,,0203,"Meat of swine; fresh, chilled or frozen",8,Weight in kilograms,775675,,,,775675,,1762321,,,6
H5,2018,2018,2018,6,1,2,Export,699,India,IND,0,World,WLD,,,,,,,,020311,"Meat; of swine, carcasses and half-carcasses, fresh or chilled",8,Weight in kilograms,6034,,,,6034,,13281,,,0
H5,2018,2018,2018,6,1,2,Export,699,India,IND,0,World,WLD,,,,,,,,020312,"Meat; of swine, hams, shoulders and cuts thereof, with bone in, fresh or chilled",8,Weight in kilograms,7506,,,,7506,,15881,,,6
H5,2018,2018,2018,6,1,2,Export,699,India,IND,0,World,WLD,,,,,,,,020319,"Meat; of swine, n.e.c. in item no. 0203.1, fresh or chilled",8,Weight in kilograms,2696,,,,2696,,9141,,,0
H5,2018,2018,2018,6,1,2,Export,699,India,IND,0,World,WLD,,,,,,,,020321,"Meat; of swine, carcasses and half-carcasses, frozen",8,Weight in kilograms,735223,,,,735223,,1625791,,,0
H5,2018,2018,2018,6,1,2,Export,699,India,IND,0,World,WLD,,,,,,,,020322,"Meat; of swine, hams, shoulders and cuts thereof, with bone in, frozen",8,Weight in kilograms,15074,,,,15074,,59656,,,0
